year,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10
1984,FL,MT,SD,LA,KY,AL,WV,TN,AR,MS
1985,NM,MT,SC,AL,SD,TN,AR,KY,MS,WV
1986,ID,MT,SD,KY,NM,AL,AR,TN,MS,WV
1987,TN,SD,NM,ID,KY,MT,AL,AR,MS,WV
1988,SD,MT,TN,LA,AR,AL,KY,WV,NM,MS
1989,MT,OK,KY,LA,TN,NM,WV,AR,AL,MS
1990,KY,SD,OK,MT,AL,AR,TN,LA,WV,MS
1991,OK,LA,MT,SD,TN,AL,KY,AR,WV,MS
1992,SD,NM,AL,LA,OK,TN,AR,KY,MS,WV
1993,MT,LA,OK,SC,TN,AL,KY,AR,WV,MS
1994,IN,MT,AL,OK,NM,KY,LA,AR,MS,WV
1995,SC,TN,LA,MT,MS,OK,NM,AL,AR,WV
1996,FL,AL,LA,SD,MT,OK,AR,MS,WV,NM
1997,AL,ND,OK,TN,NM,SD,MT,MS,WV,AR
1998,OK,SC,SD,LA,MT,NM,ND,MS,AR,WV
1999,ID,KY,OK,ND,LA,NM,MS,MT,AR,WV
2000,ND,AL,NM,MS,TN,MT,OK,LA,AR,WV
2001,ND,TN,OK,AL,AR,LA,NM,MT,MS,WV
2002,KY,NC,OK,ND,NM,MT,LA,AR,MS,WV
2003,AL,ME,KY,OK,NM,MT,LA,WV,MS,AR
2004,ND,SC,TN,AL,LA,KY,AR,MS,MT,WV
2005,TN,NM,OK,MT,LA,AL,KY,AR,WV,MS
2006,NM,NC,SC,KY,OK,WV,AL,AR,LA,MS
2007,MT,NC,OK,AL,WV,LA,TN,AR,KY,MS
2008,NC,MT,SC,NM,KY,TN,AR,LA,WV,MS
2009,GA,KY,NC,SC,TN,WV,MT,AL,AR,MS
2010,OK,WV,SC,MT,KY,AL,LA,TN,AR,MS
2011,AL,TN,NM,WV,AR,MS,LA,MT,SC,KY
2012,OH,WV,AL,NM,TN,NC,KY,LA,AR,MS
2013,SC,TN,KY,NM,AL,NC,MS,WV,AR,LA
2014,NM,FL,SC,AR,TN,KY,LA,AL,WV,MS
