year,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10
1984,AK,CT,MD,HI,NJ,MA,VA,NH,DE,CO
1985,AK,CT,NJ,MD,HI,VA,MA,CO,CA,NH
1986,CT,NJ,AK,MD,NH,MA,VA,CA,HI,CO
1987,HI,MD,NJ,AK,CT,NH,MA,CA,VA,DE
1988,MD,NJ,CT,NH,MA,AK,HI,VA,WA,DE
1989,CT,NJ,NH,MA,MD,AK,HI,VA,CA,DE
1990,NH,AK,HI,CT,MD,NJ,MA,VA,CA,IL
1991,CT,AK,NJ,HI,MD,VA,NH,MA,WA,CA
1992,HI,AK,CT,NH,NJ,VA,MD,MA,DE,CA
1993,AK,HI,NJ,MD,CT,NH,MA,VA,DE,NV
1994,AK,NJ,HI,CT,MA,MD,CO,VA,DE,NV
1995,AK,NJ,HI,MD,WI,CO,CT,NH,MA,IL
1996,AK,NJ,MD,CT,HI,MN,CO,WI,IL,MA
1997,NJ,AK,MD,WA,CT,CO,DE,VA,UT,MN
1998,AK,MD,NJ,MN,WA,CO,CT,NH,UT,VA
1999,MD,AK,CT,NJ,CO,MN,DE,IL,MI,NH
2000,MD,MN,AK,HI,NH,NJ,DE,CT,CO,UT
2001,AK,MD,CT,MN,MA,NJ,NH,VA,DE,CO
2002,MD,NH,MN,NJ,CT,AK,MA,DE,VA,CO
2003,NJ,NH,CT,VA,MN,MD,AK,HI,MA,CO
2004,MD,NH,HI,MN,NJ,CT,AK,MA,VA,CO
2005,NJ,MD,HI,NH,CT,MA,AK,UT,MN,VA
2006,NJ,MD,CT,NH,HI,VA,AK,MN,CO,MA
2007,NH,MD,CT,HI,AK,CO,NJ,VA,MA,WA
2008,NH,NJ,CT,AK,MD,UT,VA,HI,CO,MA
2009,CT,NJ,MD,NH,AK,VA,WA,MA,UT,CA
2010,NH,CT,MD,NJ,MA,VA,CO,HI,AK,UT
2011,MD,NH,CT,MA,VA,NJ,HI,CO,MN,AK
2012,MD,NH,NJ,VA,CT,MA,AK,WA,MN,UT
2013,NH,CT,VA,MD,CO,UT,MA,NJ,HI,AK
2014,MD,NH,HI,CT,AK,MN,VA,NJ,UT,MA
