Name,Year,Gender,State,Count
Christopher,1984.0,M,AK,200.0
Michael,1984.0,M,AK,185.0
Matthew,1984.0,M,AK,159.0
Jessica,1984.0,F,AK,157.0
Jennifer,1984.0,F,AK,154.0
Joshua,1984.0,M,AK,150.0
David,1984.0,M,AK,121.0
Daniel,1984.0,M,AK,118.0
Robert,1984.0,M,AK,113.0
Sarah,1984.0,F,AK,111.0
Michael,1984.0,M,CT,1160.0
Christopher,1984.0,M,CT,809.0
Matthew,1984.0,M,CT,778.0
Jennifer,1984.0,F,CT,649.0
Jessica,1984.0,F,CT,565.0
Daniel,1984.0,M,CT,536.0
David,1984.0,M,CT,513.0
John,1984.0,M,CT,459.0
Joseph,1984.0,M,CT,447.0
Robert,1984.0,M,CT,436.0
Michael,1984.0,M,MD,1249.0
Christopher,1984.0,M,MD,1042.0
Matthew,1984.0,M,MD,902.0
Jennifer,1984.0,F,MD,860.0
David,1984.0,M,MD,722.0
James,1984.0,M,MD,716.0
Jessica,1984.0,F,MD,710.0
Ashley,1984.0,F,MD,659.0
Robert,1984.0,M,MD,655.0
John,1984.0,M,MD,641.0
Christopher,1984.0,M,HI,242.0
Michael,1984.0,M,HI,240.0
Jennifer,1984.0,F,HI,200.0
Matthew,1984.0,M,HI,185.0
Joshua,1984.0,M,HI,185.0
Ashley,1984.0,F,HI,168.0
Justin,1984.0,M,HI,160.0
Jessica,1984.0,F,HI,157.0
Ryan,1984.0,M,HI,157.0
David,1984.0,M,HI,153.0
Michael,1984.0,M,NJ,2670.0
Christopher,1984.0,M,NJ,1714.0
Jennifer,1984.0,F,NJ,1601.0
Matthew,1984.0,M,NJ,1398.0
Daniel,1984.0,M,NJ,1297.0
Jessica,1984.0,F,NJ,1249.0
Joseph,1984.0,M,NJ,1179.0
John,1984.0,M,NJ,1160.0
David,1984.0,M,NJ,1156.0
Robert,1984.0,M,NJ,1153.0
Michael,1984.0,M,MA,2279.0
Christopher,1984.0,M,MA,1597.0
Matthew,1984.0,M,MA,1456.0
Jennifer,1984.0,F,MA,1317.0
Jessica,1984.0,F,MA,1102.0
Daniel,1984.0,M,MA,1070.0
David,1984.0,M,MA,1010.0
John,1984.0,M,MA,936.0
James,1984.0,M,MA,912.0
Joseph,1984.0,M,MA,880.0
Christopher,1984.0,M,VA,1604.0
Michael,1984.0,M,VA,1461.0
Jessica,1984.0,F,VA,1181.0
Jennifer,1984.0,F,VA,1159.0
