Name,Year,Gender,State,Count
Christopher,1984.0,M,FL,2989.0
Michael,1984.0,M,FL,2988.0
Jennifer,1984.0,F,FL,2171.0
Jessica,1984.0,F,FL,2100.0
Matthew,1984.0,M,FL,1819.0
Ashley,1984.0,F,FL,1689.0
James,1984.0,M,FL,1681.0
David,1984.0,M,FL,1632.0
Joshua,1984.0,M,FL,1613.0
Robert,1984.0,M,FL,1564.0
Michael,1984.0,M,MT,220.0
Matthew,1984.0,M,MT,189.0
Christopher,1984.0,M,MT,179.0
Jessica,1984.0,F,MT,168.0
Jennifer,1984.0,F,MT,166.0
Joshua,1984.0,M,MT,157.0
Amanda,1984.0,F,MT,143.0
Daniel,1984.0,M,MT,141.0
Ashley,1984.0,F,MT,126.0
Tyler,1984.0,M,MT,123.0
Matthew,1984.0,M,SD,220.0
Joshua,1984.0,M,SD,184.0
Michael,1984.0,M,SD,176.0
Jessica,1984.0,F,SD,166.0
Jennifer,1984.0,F,SD,156.0
Ashley,1984.0,F,SD,155.0
Christopher,1984.0,M,SD,151.0
Amanda,1984.0,F,SD,151.0
Adam,1984.0,M,SD,136.0
Andrew,1984.0,M,SD,119.0
Ashley,1984.0,F,LA,1343.0
Christopher,1984.0,M,LA,1321.0
Michael,1984.0,M,LA,1063.0
Joshua,1984.0,M,LA,1032.0
Brandon,1984.0,M,LA,901.0
Jessica,1984.0,F,LA,892.0
Jennifer,1984.0,F,LA,859.0
Matthew,1984.0,M,LA,774.0
John,1984.0,M,LA,713.0
James,1984.0,M,LA,693.0
Christopher,1984.0,M,KY,1056.0
Joshua,1984.0,M,KY,988.0
Ashley,1984.0,F,KY,934.0
Jessica,1984.0,F,KY,898.0
James,1984.0,M,KY,883.0
Michael,1984.0,M,KY,880.0
Amanda,1984.0,F,KY,855.0
Matthew,1984.0,M,KY,800.0
Jennifer,1984.0,F,KY,764.0
Brandon,1984.0,M,KY,620.0
Christopher,1984.0,M,AL,1099.0
Michael,1984.0,M,AL,840.0
Ashley,1984.0,F,AL,816.0
James,1984.0,M,AL,803.0
Joshua,1984.0,M,AL,787.0
Jessica,1984.0,F,AL,755.0
Jennifer,1984.0,F,AL,741.0
Matthew,1984.0,M,AL,660.0
William,1984.0,M,AL,618.0
Amanda,1984.0,F,AL,596.0
Joshua,1984.0,M,WV,547.0
Jessica,1984.0,F,WV,479.0
Christopher,1984.0,M,WV,451.0
Ashley,1984.0,F,WV,450.0
Michael,1984.0,M,WV,436.0
Matthew,1984.0,M,WV,411.0
Amanda,1984.0,F,WV,404.0
James,1984.0,M,WV,398.0
Jennifer,1984.0,F,WV,371.0
Justin,1984.0,M,WV,323.0
Christopher,1984.0,M,TN,1262.0
Joshua,1984.0,M,TN,1196.0
Ashley,1984.0,F,TN,1097.0
James,1984.0,M,TN,1051.0
Michael,1984.0,M,TN,1034.0
Jessica,1984.0,F,TN,1033.0
Jennifer,1984.0,F,TN,1016.0
Matthew,1984.0,M,TN,953.0
Amanda,1984.0,F,TN,917.0
William,1984.0,M,TN,805.0
Christopher,1984.0,M,AR,585.0
Joshua,1984.0,M,AR,503.0
Michael,1984.0,M,AR,493.0
James,1984.0,M,AR,484.0
Jennifer,1984.0,F,AR,481.0
Ashley,1984.0,F,AR,457.0
Matthew,1984.0,M,AR,424.0
Jessica,1984.0,F,AR,424.0
Amanda,1984.0,F,AR,403.0
Justin,1984.0,M,AR,398.0
Christopher,1984.0,M,MS,745.0
James,1984.0,M,MS,600.0
Michael,1984.0,M,MS,557.0
Ashley,1984.0,F,MS,504.0
Jessica,1984.0,F,MS,492.0
Joshua,1984.0,M,MS,455.0
Jennifer,1984.0,F,MS,447.0
William,1984.0,M,MS,441.0
John,1984.0,M,MS,414.0
Robert,1984.0,M,MS,398.0
Christopher,1985.0,M,NM,411.0
Michael,1985.0,M,NM,382.0
Matthew,1985.0,M,NM,292.0
Jessica,1985.0,F,NM,291.0
Daniel,1985.0,M,NM,290.0
Joshua,1985.0,M,NM,266.0
David,1985.0,M,NM,265.0
Amanda,1985.0,F,NM,253.0
Ashley,1985.0,F,NM,228.0
Robert,1985.0,M,NM,228.0
Michael,1985.0,M,MT,188.0
Matthew,1985.0,M,MT,171.0
Jessica,1985.0,F,MT,165.0
Joshua,1985.0,M,MT,157.0
Amanda,1985.0,F,MT,152.0
Ashley,1985.0,F,MT,150.0
Christopher,1985.0,M,MT,149.0
Ryan,1985.0,M,MT,138.0
Jennifer,1985.0,F,MT,129.0
Tyler,1985.0,M,MT,124.0
Christopher,1985.0,M,SC,908.0
Ashley,1985.0,F,SC,860.0
Michael,1985.0,M,SC,748.0
James,1985.0,M,SC,682.0
Jessica,1985.0,F,SC,680.0
Joshua,1985.0,M,SC,606.0
Brandon,1985.0,M,SC,594.0
William,1985.0,M,SC,542.0
Jennifer,1985.0,F,SC,514.0
Matthew,1985.0,M,SC,498.0
Christopher,1985.0,M,AL,1104.0
Ashley,1985.0,F,AL,981.0
Jessica,1985.0,F,AL,834.0
Joshua,1985.0,M,AL,828.0
Michael,1985.0,M,AL,807.0
James,1985.0,M,AL,766.0
Brandon,1985.0,M,AL,648.0
William,1985.0,M,AL,611.0
Jennifer,1985.0,F,AL,609.0
Amanda,1985.0,F,AL,605.0
Christopher,1985.0,M,SD,188.0
Michael,1985.0,M,SD,172.0
Matthew,1985.0,M,SD,169.0
Ashley,1985.0,F,SD,164.0
Joshua,1985.0,M,SD,160.0
Amanda,1985.0,F,SD,159.0
Jessica,1985.0,F,SD,155.0
Andrew,1985.0,M,SD,123.0
Tyler,1985.0,M,SD,121.0
Jennifer,1985.0,F,SD,120.0
Christopher,1985.0,M,TN,1399.0
Joshua,1985.0,M,TN,1257.0
Ashley,1985.0,F,TN,1245.0
Jessica,1985.0,F,TN,1132.0
James,1985.0,M,TN,1114.0
Michael,1985.0,M,TN,1022.0
Amanda,1985.0,F,TN,982.0
Matthew,1985.0,M,TN,901.0
Brandon,1985.0,M,TN,888.0
William,1985.0,M,TN,838.0
Christopher,1985.0,M,AR,553.0
Joshua,1985.0,M,AR,497.0
Ashley,1985.0,F,AR,490.0
Michael,1985.0,M,AR,483.0
Jessica,1985.0,F,AR,452.0
James,1985.0,M,AR,449.0
Brandon,1985.0,M,AR,414.0
Matthew,1985.0,M,AR,411.0
Amanda,1985.0,F,AR,409.0
Jennifer,1985.0,F,AR,381.0
Joshua,1985.0,M,KY,1034.0
Ashley,1985.0,F,KY,1004.0
Christopher,1985.0,M,KY,996.0
Jessica,1985.0,F,KY,861.0
James,1985.0,M,KY,843.0
Amanda,1985.0,F,KY,811.0
Michael,1985.0,M,KY,759.0
Brandon,1985.0,M,KY,755.0
Matthew,1985.0,M,KY,727.0
William,1985.0,M,KY,590.0
Christopher,1985.0,M,MS,679.0
Ashley,1985.0,F,MS,599.0
James,1985.0,M,MS,564.0
Jessica,1985.0,F,MS,503.0
Michael,1985.0,M,MS,493.0
Joshua,1985.0,M,MS,489.0
William,1985.0,M,MS,427.0
Amanda,1985.0,F,MS,394.0
John,1985.0,M,MS,392.0
Brandon,1985.0,M,MS,380.0
Joshua,1985.0,M,WV,529.0
Christopher,1985.0,M,WV,486.0
Ashley,1985.0,F,WV,454.0
Jessica,1985.0,F,WV,415.0
Michael,1985.0,M,WV,410.0
Amanda,1985.0,F,WV,401.0
James,1985.0,M,WV,374.0
Matthew,1985.0,M,WV,374.0
Brandon,1985.0,M,WV,349.0
Justin,1985.0,M,WV,292.0
Michael,1986.0,M,ID,244.0
Jessica,1986.0,F,ID,220.0
Matthew,1986.0,M,ID,197.0
Christopher,1986.0,M,ID,191.0
Ashley,1986.0,F,ID,188.0
Joshua,1986.0,M,ID,179.0
Amanda,1986.0,F,ID,157.0
Daniel,1986.0,M,ID,149.0
Jennifer,1986.0,F,ID,143.0
David,1986.0,M,ID,143.0
Michael,1986.0,M,MT,178.0
Amanda,1986.0,F,MT,144.0
Matthew,1986.0,M,MT,143.0
Jessica,1986.0,F,MT,139.0
Christopher,1986.0,M,MT,136.0
Joshua,1986.0,M,MT,130.0
Andrew,1986.0,M,MT,122.0
Ryan,1986.0,M,MT,121.0
Daniel,1986.0,M,MT,117.0
Tyler,1986.0,M,MT,116.0
Michael,1986.0,M,SD,189.0
Ashley,1986.0,F,SD,175.0
Matthew,1986.0,M,SD,159.0
Amanda,1986.0,F,SD,150.0
Jessica,1986.0,F,SD,150.0
Christopher,1986.0,M,SD,142.0
Tyler,1986.0,M,SD,130.0
Ryan,1986.0,M,SD,122.0
Sarah,1986.0,F,SD,121.0
Joshua,1986.0,M,SD,120.0
Ashley,1986.0,F,KY,1024.0
Christopher,1986.0,M,KY,958.0
Jessica,1986.0,F,KY,944.0
Joshua,1986.0,M,KY,912.0
Michael,1986.0,M,KY,819.0
James,1986.0,M,KY,771.0
Amanda,1986.0,F,KY,752.0
Matthew,1986.0,M,KY,669.0
Brandon,1986.0,M,KY,611.0
Brittany,1986.0,F,KY,580.0
Christopher,1986.0,M,NM,350.0
Michael,1986.0,M,NM,316.0
Jessica,1986.0,F,NM,300.0
Amanda,1986.0,F,NM,299.0
Joshua,1986.0,M,NM,278.0
Matthew,1986.0,M,NM,266.0
Daniel,1986.0,M,NM,253.0
Ashley,1986.0,F,NM,251.0
David,1986.0,M,NM,246.0
Joseph,1986.0,M,NM,218.0
Christopher,1986.0,M,AL,957.0
Ashley,1986.0,F,AL,929.0
Jessica,1986.0,F,AL,910.0
James,1986.0,M,AL,844.0
Michael,1986.0,M,AL,813.0
Joshua,1986.0,M,AL,736.0
Brandon,1986.0,M,AL,652.0
William,1986.0,M,AL,642.0
Matthew,1986.0,M,AL,575.0
Amanda,1986.0,F,AL,567.0
Ashley,1986.0,F,AR,553.0
Christopher,1986.0,M,AR,531.0
Jessica,1986.0,F,AR,506.0
Joshua,1986.0,M,AR,464.0
Michael,1986.0,M,AR,453.0
Amanda,1986.0,F,AR,413.0
Matthew,1986.0,M,AR,384.0
James,1986.0,M,AR,377.0
Brandon,1986.0,M,AR,343.0
Justin,1986.0,M,AR,332.0
Ashley,1986.0,F,TN,1324.0
Jessica,1986.0,F,TN,1324.0
Christopher,1986.0,M,TN,1251.0
Joshua,1986.0,M,TN,1076.0
Michael,1986.0,M,TN,995.0
James,1986.0,M,TN,970.0
Matthew,1986.0,M,TN,875.0
Amanda,1986.0,F,TN,868.0
Brandon,1986.0,M,TN,806.0
William,1986.0,M,TN,770.0
Christopher,1986.0,M,MS,676.0
Ashley,1986.0,F,MS,587.0
James,1986.0,M,MS,537.0
Michael,1986.0,M,MS,499.0
Jessica,1986.0,F,MS,487.0
William,1986.0,M,MS,455.0
Joshua,1986.0,M,MS,423.0
John,1986.0,M,MS,387.0
Brandon,1986.0,M,MS,376.0
Brittany,1986.0,F,MS,362.0
Ashley,1986.0,F,WV,473.0
Joshua,1986.0,M,WV,456.0
Jessica,1986.0,F,WV,448.0
Christopher,1986.0,M,WV,429.0
Michael,1986.0,M,WV,399.0
Matthew,1986.0,M,WV,380.0
Amanda,1986.0,F,WV,357.0
James,1986.0,M,WV,324.0
Brandon,1986.0,M,WV,292.0
Justin,1986.0,M,WV,284.0
Ashley,1987.0,F,TN,1366.0
Jessica,1987.0,F,TN,1297.0
Christopher,1987.0,M,TN,1222.0
Joshua,1987.0,M,TN,1166.0
Michael,1987.0,M,TN,1019.0
Matthew,1987.0,M,TN,953.0
James,1987.0,M,TN,936.0
Amanda,1987.0,F,TN,830.0
Justin,1987.0,M,TN,800.0
William,1987.0,M,TN,800.0
Ashley,1987.0,F,SD,203.0
Amanda,1987.0,F,SD,166.0
Matthew,1987.0,M,SD,153.0
Joshua,1987.0,M,SD,150.0
Tyler,1987.0,M,SD,141.0
Jessica,1987.0,F,SD,134.0
Ryan,1987.0,M,SD,133.0
Michael,1987.0,M,SD,133.0
Christopher,1987.0,M,SD,126.0
Sarah,1987.0,F,SD,119.0
Michael,1987.0,M,NM,377.0
Christopher,1987.0,M,NM,354.0
Amanda,1987.0,F,NM,353.0
Jessica,1987.0,F,NM,348.0
Ashley,1987.0,F,NM,297.0
Joshua,1987.0,M,NM,279.0
Matthew,1987.0,M,NM,273.0
David,1987.0,M,NM,249.0
Daniel,1987.0,M,NM,221.0
Andrew,1987.0,M,NM,205.0
Jessica,1987.0,F,ID,218.0
Michael,1987.0,M,ID,206.0
Ashley,1987.0,F,ID,201.0
Amanda,1987.0,F,ID,194.0
Matthew,1987.0,M,ID,177.0
Christopher,1987.0,M,ID,177.0
Andrew,1987.0,M,ID,172.0
Joshua,1987.0,M,ID,160.0
Ryan,1987.0,M,ID,150.0
David,1987.0,M,ID,143.0
Ashley,1987.0,F,KY,1038.0
Joshua,1987.0,M,KY,947.0
Jessica,1987.0,F,KY,940.0
Christopher,1987.0,M,KY,923.0
Michael,1987.0,M,KY,777.0
James,1987.0,M,KY,771.0
Amanda,1987.0,F,KY,737.0
Justin,1987.0,M,KY,688.0
Matthew,1987.0,M,KY,680.0
Brandon,1987.0,M,KY,576.0
Ashley,1987.0,F,MT,172.0
Michael,1987.0,M,MT,167.0
Amanda,1987.0,F,MT,148.0
Jessica,1987.0,F,MT,144.0
Matthew,1987.0,M,MT,129.0
Christopher,1987.0,M,MT,129.0
Andrew,1987.0,M,MT,118.0
Kyle,1987.0,M,MT,104.0
Joshua,1987.0,M,MT,104.0
Sarah,1987.0,F,MT,95.0
Ashley,1987.0,F,AL,1010.0
Jessica,1987.0,F,AL,999.0
Christopher,1987.0,M,AL,913.0
Joshua,1987.0,M,AL,795.0
James,1987.0,M,AL,743.0
Justin,1987.0,M,AL,733.0
Michael,1987.0,M,AL,712.0
William,1987.0,M,AL,668.0
Matthew,1987.0,M,AL,622.0
Brandon,1987.0,M,AL,570.0
Ashley,1987.0,F,AR,565.0
Jessica,1987.0,F,AR,546.0
Christopher,1987.0,M,AR,503.0
Joshua,1987.0,M,AR,446.0
Michael,1987.0,M,AR,428.0
James,1987.0,M,AR,423.0
Matthew,1987.0,M,AR,393.0
Justin,1987.0,M,AR,393.0
Amanda,1987.0,F,AR,358.0
Brandon,1987.0,M,AR,309.0
Christopher,1987.0,M,MS,634.0
Jessica,1987.0,F,MS,614.0
Ashley,1987.0,F,MS,564.0
James,1987.0,M,MS,489.0
Michael,1987.0,M,MS,447.0
Justin,1987.0,M,MS,434.0
Joshua,1987.0,M,MS,431.0
William,1987.0,M,MS,386.0
Brittany,1987.0,F,MS,361.0
John,1987.0,M,MS,339.0
Ashley,1987.0,F,WV,487.0
Joshua,1987.0,M,WV,452.0
Jessica,1987.0,F,WV,395.0
Christopher,1987.0,M,WV,393.0
Justin,1987.0,M,WV,387.0
Michael,1987.0,M,WV,369.0
Matthew,1987.0,M,WV,346.0
Amanda,1987.0,F,WV,345.0
James,1987.0,M,WV,285.0
Brandon,1987.0,M,WV,257.0
Ashley,1988.0,F,SD,162.0
Michael,1988.0,M,SD,141.0
Amanda,1988.0,F,SD,135.0
Joshua,1988.0,M,SD,135.0
Jessica,1988.0,F,SD,130.0
Tyler,1988.0,M,SD,126.0
Matthew,1988.0,M,SD,122.0
Christopher,1988.0,M,SD,122.0
Andrew,1988.0,M,SD,121.0
Kyle,1988.0,M,SD,110.0
Jessica,1988.0,F,MT,147.0
Michael,1988.0,M,MT,139.0
Amanda,1988.0,F,MT,126.0
Matthew,1988.0,M,MT,125.0
Ashley,1988.0,F,MT,119.0
Joshua,1988.0,M,MT,109.0
Tyler,1988.0,M,MT,107.0
Andrew,1988.0,M,MT,104.0
